"PLAYER","DATE","REASON","GAME_SALARY","attendance","SGV","PERCENTAGE_MIN_prior","PLAYED_RECENT_GAMES_72h_prior","AVG_TRAVEL_MILES_prior","total_miles_prior","total_minutes_prior","played_games_prior","games_prior","FGM_prior_sum","FGA_prior_sum","FG3M_prior_sum","FG3A_prior_sum","FTM_prior_sum","FTA_prior_sum","PF_prior_sum","PTS_prior_sum","STL_prior_sum","BLK_prior_sum","TO_prior_sum","OREB_prior_sum","DREB_prior_sum","AST_prior_sum","BLKA_prior_sum","PFD_prior_sum","POSS_prior_sum","SCREEN_ASSISTS_prior_sum","DEFLECTIONS_prior_sum","CHARGES_DRAWN_prior_sum","CONTESTED_SHOTS_2PT_prior_sum","CONTESTED_SHOTS_3PT_prior_sum","OFF_BOXOUTS_prior_sum","DEF_BOXOUTS_prior_sum","OFF_LOOSE_BALLS_RECOVERED_prior_sum","DEF_LOOSE_BALLS_RECOVERED_prior_sum","D_FGM_prior_sum","D_FGA_prior_sum","DRIVES_prior_sum","DIST_MILES_OFF_prior_sum","DIST_MILES_DEF_prior_sum","TOUCHES_prior_sum","PASSES_MADE_prior_sum","PASSES_RECEIVED_prior_sum","SECONDARY_AST_prior_sum","POTENTIAL_AST_prior_sum","FT_AST_prior_sum","OREB_CONTEST_prior_sum","OREB_CHANCES_prior_sum","DREB_CONTEST_prior_sum","DREB_CHANCES_prior_sum","prior_injury_episodes","prior_missed_games"
"Admiral Schofield",2023-03-09,"Concussion",10706.5853658537,16552,4622125.057,0.24725582437276,1.58064516129032,766.667423610353,13800.0136249863,367.916666666667,31,66,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73,0,1
"Admiral Schofield",2023-03-11,"Concussion",10706.5853658537,17347,5276572.31,0.24725582437276,1.58064516129032,766.667423610353,13800.0136249863,367.916666666667,31,67,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73,0,2
"Admiral Schofield",2023-03-14,"Concussion",10706.5853658537,13708,4241642.434,0.24725582437276,1.58064516129032,766.667423610353,13800.0136249863,367.916666666667,31,68,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73,0,3
"Admiral Schofield",2023-03-16,"Concussion",10706.5853658537,17071,16352566.32,0.24725582437276,1.58064516129032,766.667423610353,13800.0136249863,367.916666666667,31,69,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73,0,4
"Admiral Schofield",2023-03-18,"Concussion",10706.5853658537,17533,14018619.02,0.24725582437276,1.58064516129032,766.667423610353,13800.0136249863,367.916666666667,31,70,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73,0,5
"Admiral Schofield",2023-03-19,"Concussion",10706.5853658537,18997,9563045.097,0.24725582437276,1.58064516129032,766.667423610353,13800.0136249863,367.916666666667,31,71,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73,0,6
"Admiral Schofield",2023-03-21,"Concussion",10706.5853658537,16096,6044552.105,0.24725582437276,1.58064516129032,766.667423610353,13800.0136249863,367.916666666667,31,72,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73,0,7
"Admiral Schofield",2023-03-23,"Concussion",10706.5853658537,17607,21995290.31,0.24725582437276,1.58064516129032,766.667423610353,13800.0136249863,367.916666666667,31,73,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73,0,8
"Admiral Schofield",2023-03-31,"Concussion",10706.5853658537,16411,6076883.092,0.244191919191919,1.57575757575758,762.262311563144,14482.9839196997,386.8,33,76,48,101,22,62,17,19,56,135,6,4,7,20,36,25,4,24,803,35,15,6,33,49,4,9,2,3,76,156,26,16.1,13.9,584,463,300,0,42,2,9,52,10,76,1,9
"Admiral Schofield",2023-04-04,"Right Ankle Sprain",10706.5853658537,19449,9929603.526,0.239001225490196,1.55882352941176,762.076198239728,15241.5239647946,390.05,34,78,48,102,22,63,17,19,56,135,6,4,7,20,36,26,4,24,812,36,15,6,34,49,4,9,2,3,77,157,26,16.3,14,592,470,307,0,43,2,9,52,10,76,2,10
"Al Horford",2022-10-22,"Low Back Stiffness",323170.731707317,19299,10957977.82,0.589583333333333,1,1258.12138977282,1258.12138977282,56.6,2,2,5,12,5,10,0,0,6,15,0,0,3,2,8,2,0,3,113,2,2,0,14,4,0,1,0,0,17,36,1,1.9,1.7,72,56,43,1,8,1,2,5,2,15,0,0
"Al Horford",2022-11-05,"Low Back Stiffness",323170.731707317,19812,23042657.22,0.655803571428571,1.28571428571429,839.148803332807,4195.74401666404,220.35,7,8,24,52,12,34,3,4,17,63,1,5,7,8,34,15,0,8,455,11,6,0,46,17,0,8,5,2,47,121,10,8,7.2,362,295,214,4,28,3,6,17,13,68,1,1
"Al Horford",2022-11-12,"Low Back Stiffness",323170.731707317,20190,11211538.32,0.652013888888888,1.4,898.155902256535,6287.09131579574,312.966666666667,10,12,43,77,22,46,4,7,21,112,4,7,7,9,52,21,0,13,648,17,11,0,70,31,0,14,6,2,67,167,14,11.5,10.3,503,408,303,4,44,3,6,21,21,98,2,2
"Al Horford",2022-11-28,"Low Back Stiffness",323170.731707317,19156,10491560.58,0.649714052287582,1.52941176470588,828.982061454064,9947.78473744876,530.166666666667,17,20,74,133,37,76,5,8,33,190,7,17,13,20,87,45,2,19,1106,32,23,0,119,59,0,23,7,4,108,265,30,19.5,17.6,850,686,522,6,79,3,12,40,29,149,3,3
"Al Horford",2022-12-05,"Low Back Stiffness",323170.731707317,19800,17531259.48,0.6575,1.55,779.86489683363,10138.2436588372,631.2,20,24,79,147,41,88,5,8,40,204,9,20,15,20,105,55,2,19,1315,34,25,0,144,70,0,25,7,4,140,335,35,23.3,20.9,989,805,603,8,95,3,12,44,34,175,4,4
"Al Horford",2023-01-12,"Low Back Stiffness",323170.731707317,18125,35614111.31,0.633186026936027,1.63636363636364,905.722782249494,17208.7328627404,1002.96666666667,33,42,117,240,67,154,6,10,57,307,15,33,20,36,171,86,2,23,2104,52,47,0,218,116,8,40,10,5,230,538,46,36.7,33.6,1530,1241,908,14,143,5,21,79,50,272,5,5
"Al Horford",2023-01-24,"Low Back Stiffness",323170.731707317,19705,35776279.44,0.636805555555555,1.63157894736842,866.970954741468,19940.3319590538,1161.53333333333,38,48,138,289,78,183,8,12,72,362,21,37,21,43,195,100,4,25,2439,63,51,0,252,129,10,45,13,8,263,613,54,42.8,38.8,1782,1439,1056,17,170,6,25,93,57,311,6,6
"Al Horford",2023-02-08,"Right Knee Swelling",323170.731707317,19156,31119778.82,0.640923772609819,1.6046511627907,872.426620293517,21810.6655073379,1322.86666666667,43,54,147,318,86,206,10,14,81,390,22,40,26,50,214,114,5,26,2753,74,55,0,276,157,11,55,14,8,295,690,63,48.7,44,1978,1599,1187,18,199,8,27,106,63,353,7,7
"Al Horford",2023-02-10,"Right Knee Swelling",323170.731707317,19156,26513942.8,0.640923772609819,1.6046511627907,872.426620293517,21810.6655073379,1322.86666666667,43,55,147,318,86,206,10,14,81,390,22,40,26,50,214,114,5,26,2753,74,55,0,276,157,11,55,14,8,295,690,63,48.7,44,1978,1599,1187,18,199,8,27,106,63,353,7,8
"Al Horford",2023-02-14,"Right Knee Swelling",323170.731707317,17623,35562587.01,0.640609217171717,1.59090909090909,872.426620293517,21810.6655073379,1352.96666666667,44,57,152,327,90,213,12,16,84,406,22,41,27,51,222,119,5,27,2814,74,56,0,281,161,11,56,14,8,300,703,65,49.9,44.9,2041,1650,1227,18,206,9,28,107,64,365,8,9
"Al Horford",2023-03-06,"Low Back Stiffness",323170.731707317,19432,15354744.71,0.648182189542484,1.6078431372549,810.974320179456,24329.2296053837,1586.75,51,65,186,387,115,255,14,19,101,501,24,46,30,63,260,140,6,31,3285,88,66,0,318,194,13,58,16,9,362,819,73,58.8,52.5,2396,1935,1435,18,241,11,34,125,75,417,9,10
"Al Horford",2023-03-18,"Low Back Stiffness",323170.731707317,18206,10218774.43,0.644859871031746,1.60714285714286,828.516685400046,28998.0839890016,1733.38333333333,56,71,205,422,127,278,15,21,108,552,27,52,31,66,280,166,8,34,3593,98,70,0,357,210,13,65,17,9,410,925,80,64,57.3,2597,2096,1566,18,269,12,35,131,79,458,10,11
"Al Horford",2023-03-31,"Low Back Stiffness",323170.731707317,19156,10316280.58,0.634978369763206,1.60655737704918,850.946113750018,33186.8984362507,1859.21666666667,61,77,220,459,139,308,15,21,115,594,30,58,36,70,307,180,8,34,3870,113,75,0,387,222,15,72,18,9,451,1002,83,68.6,61.6,2790,2246,1683,23,279,13,39,140,88,497,11,12
"Al Horford",2023-04-05,"Low Back Stiffness",323170.731707317,19156,17465160.58,0.636374327956989,1.59677419354839,836.509929012562,33460.3971605025,1893.85,62,79,224,471,142,318,15,21,119,605,30,58,36,73,312,186,8,34,3935,116,75,0,397,227,15,73,19,9,462,1021,84,69.8,62.5,2846,2288,1715,23,290,13,40,144,89,504,12,13
"Al Horford",2023-04-09,"Low Back Stiffness",323170.731707317,19156,26513942.8,0.635383597883598,1.58730158730159,836.509929012562,33460.3971605025,1921.4,63,81,228,479,145,325,15,21,121,616,30,61,37,73,317,189,8,34,3991,117,75,0,407,229,15,73,19,10,469,1036,85,70.9,63.4,2880,2312,1738,23,294,13,40,144,89,512,13,14
"Alec Burks",2022-10-19,"Left Navicular Fracture",123614.814814815,20190,10390488.32,0,0,0,0,0,0,0,228,479,145,325,15,21,121,616,30,61,37,73,317,189,8,34,3991,117,75,0,407,229,15,73,19,10,469,1036,85,70.9,63.4,2880,2312,1738,23,294,13,40,144,89,512,0,0
"Alec Burks",2022-10-21,"Left Navicular Fracture",123614.814814815,19812,11697295.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alec Burks",2022-10-22,"Left Navicular Fracture",123614.814814815,16056,4792486.583,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Alec Burks",2022-10-25,"Left Navicular Fracture",123614.814814815,13196,10514847.78,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Alec Burks",2022-10-26,"Left Navicular Fracture",123614.814814815,17987,11069086.69,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Alec Burks",2022-10-28,"Left Navicular Fracture",123614.814814815,18923,11165155.91,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Alec Burks",2022-10-30,"Left Navicular Fracture",123614.814814815,20190,6602722.295,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Alec Burks",2022-10-31,"Left Navicular Fracture",123614.814814815,17341,9223132.51,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Alec Burks",2022-11-02,"Left Navicular Fracture",123614.814814815,17341,9223132.51,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Alec Burks",2022-11-04,"Left Navicular Fracture",123614.814814815,18744,10019353.7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Alec Burks",2022-11-07,"Left Navicular Fracture",123614.814814815,16223,4345687.138,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Alec Burks",2022-11-09,"Left Navicular Fracture",123614.814814815,19156,11105410.58,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Alec Burks",2023-03-04,"Left Foot Soreness",123614.814814815,19432,10089968.68,0.458793934240363,1.77551020408163,681.862464409026,24547.0487187249,1079.08333333333,49,62,196,440,96,228,145,179,96,633,37,7,57,16,133,107,13,133,2328,7,59,3,67,80,0,8,13,14,175,364,238,41.2,37.1,1689,1054,1210,8,178,6,6,47,28,204,1,12
"Alec Burks",2023-03-07,"Left Foot Soreness",123614.814814815,17855,6387202.441,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,64,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,13
"Alec Burks",2023-03-09,"Left Foot Soreness",123614.814814815,17121,5017916.109,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,65,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,14
"Alec Burks",2023-03-11,"Left Foot Soreness",123614.814814815,20190,5216792.295,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,66,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,15
"Alec Burks",2023-03-13,"Left Foot Soreness",123614.814814815,18313,5024140.669,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,67,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,16
"Alec Burks",2023-03-14,"Left Foot Soreness",123614.814814815,15279,6122806.815,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,68,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,17
"Alec Burks",2023-03-16,"Left Foot Soreness",123614.814814815,17987,10181776.69,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,69,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,18
"Alec Burks",2023-03-19,"Left Foot Soreness",123614.814814815,20190,5730482.295,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,70,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,19
"Alec Burks",2023-03-21,"Left Foot Soreness",123614.814814815,17129,6375187.214,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,71,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,20
"Alec Burks",2023-03-24,"Left Foot Soreness",123614.814814815,19800,12266483.45,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,72,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,21
"Alec Burks",2023-03-27,"Left Foot Soreness",123614.814814815,21090,9607922.571,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,73,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,22
"Alec Burks",2023-03-29,"Left Foot Soreness",123614.814814815,15047,4224984.787,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,74,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,23
"Alec Burks",2023-03-31,"Left Foot Soreness",123614.814814815,15844,6229777.316,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,75,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,24
"Alec Burks",2023-04-02,"Left Foot Soreness",123614.814814815,19431,5706750.012,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,76,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,25
"Alec Burks",2023-04-04,"Left Foot Soreness",123614.814814815,18453,5552199.996,0.459055555555556,1.76,665.903924954741,24638.4452233254,1101.73333333333,50,77,199,451,99,236,149,184,98,646,38,8,58,17,138,111,13,135,2376,7,60,3,68,82,0,8,13,14,177,369,241,42.1,37.9,1729,1079,1235,8,182,7,6,48,29,209,2,26
