"PLAYER","REASON","missed_games","salary_dollars_claimed","injuries_prior","played_games_prior","games_prior","total_miles_prior","total_minutes_prior","PERCENTAGE_MIN_prior","AVG_TRAVEL_MILES_prior","FGM_prior_sum","FGA_prior_sum","FG3M_prior_sum","FG3A_prior_sum","FTM_prior_sum","FTA_prior_sum","PF_prior_sum","PTS_prior_sum","STL_prior_sum","BLK_prior_sum","TO_prior_sum","OREB_prior_sum","DREB_prior_sum","AST_prior_sum","BLKA_prior_sum","PFD_prior_sum","POSS_prior_sum","SCREEN_ASSISTS_prior_sum","DEFLECTIONS_prior_sum","CHARGES_DRAWN_prior_sum","CONTESTED_SHOTS_2PT_prior_sum","CONTESTED_SHOTS_3PT_prior_sum","OFF_BOXOUTS_prior_sum","DEF_BOXOUTS_prior_sum","OFF_LOOSE_BALLS_RECOVERED_prior_sum","DEF_LOOSE_BALLS_RECOVERED_prior_sum","D_FGM_prior_sum","D_FGA_prior_sum","DRIVES_prior_sum","DIST_MILES_OFF_prior_sum","DIST_MILES_DEF_prior_sum","TOUCHES_prior_sum","PASSES_MADE_prior_sum","PASSES_RECEIVED_prior_sum","SECONDARY_AST_prior_sum","POTENTIAL_AST_prior_sum","FT_AST_prior_sum","OREB_CONTEST_prior_sum","OREB_CHANCES_prior_sum","DREB_CONTEST_prior_sum","DREB_CHANCES_prior_sum"
"Aaron Nesmith","Right Ankle Sprain",1,46394.6341463415,4,28,32,11365.6862049746,627.716666666667,0.467051091269841,710.355387810914,89,207,44,116,30,35,87,252,22,14,28,21,80,31,16,47,1346,9,39,2,92,51,3,8,5,8,123,256,90,25,24.1,871,594,526,8,60,3,10,63,17,154
"Aaron Nesmith","Right Foot Soreness",2,92789.268292683,3,6,8,1846.85744182556,131.466666666667,0.456481481481481,615.619147275186,19,43,7,22,7,9,18,52,1,5,6,3,18,9,5,6,280,1,6,0,21,10,0,2,0,2,25,50,22,5.1,5.2,178,122,106,3,11,0,3,9,5,43
"Aaron Nesmith","Right Wrist Soreness",0,0,6,43,50,18303.0932595606,1002.68333333333,0.485796188630491,703.965125367714,135,336,59,173,64,74,142,393,33,19,42,36,123,51,28,79,2139,17,61,6,134,82,3,18,6,12,213,413,164,40.3,38.2,1415,969,827,9,85,4,18,107,27,242
"Aaron Nesmith","Sore Left Foot",0,0,1,2,2,0,43.6166666666667,0.454340277777778,NA,5,17,2,8,0,0,6,12,0,1,1,2,6,3,4,1,97,0,0,0,6,2,0,1,0,1,6,10,11,1.7,1.8,70,49,37,1,4,0,2,4,2,14
"Aaron Nesmith","Sore Left Hip",1,46394.6341463415,7,57,64,24967.0748263369,1389.68333333333,0.507925194931774,693.529856287136,188,451,83,238,89,103,193,548,43,24,53,46,165,68,32,109,2941,23,76,11,177,117,4,29,8,16,291,563,222,55.8,52.7,1949,1348,1124,11,112,5,23,136,37,332
"Aaron Nesmith","Sore Right Foot",2,92789.268292683,2,6,6,1846.85744182556,131.466666666667,0.456481481481481,615.619147275186,19,43,7,22,7,9,18,52,1,5,6,3,18,9,5,6,280,1,6,0,21,10,0,2,0,2,25,50,22,5.1,5.2,178,122,106,3,11,0,3,9,5,43
"Aaron Nesmith","Sore Right Wrist",0,0,5,42,49,17480.8316288045,989.3,0.490724206349206,699.23326515218,135,331,59,170,64,74,139,393,32,19,40,36,123,51,27,77,2113,17,60,6,133,81,3,18,6,12,213,410,160,39.7,37.8,1391,953,813,8,85,4,18,107,27,242
"Admiral Schofield","Concussion",10,107065.853658537,0,31,65,13800.0136249863,367.916666666667,0.24725582437276,766.667423610353,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73
"Admiral Schofield","Right Ankle Sprain",1,10706.5853658537,1,34,78,15241.5239647946,390.05,0.239001225490196,762.076198239728,48,102,22,63,17,19,56,135,6,4,7,20,36,26,4,24,812,36,15,6,34,49,4,9,2,3,77,157,26,16.3,14,592,470,307,0,43,2,9,52,10,76
"Al Horford","Low Back Stiffness",12,3878048.7804878,0,2,2,1258.12138977282,56.6,0.589583333333333,1258.12138977282,5,12,5,10,0,0,6,15,0,0,3,2,8,2,0,3,113,2,2,0,14,4,0,1,0,0,17,36,1,1.9,1.7,72,56,43,1,8,1,2,5,2,15
"Al Horford","Right Knee Swelling",3,969512.195121951,1,43,54,21810.6655073379,1322.86666666667,0.640923772609819,872.426620293517,147,318,86,206,10,14,81,390,22,40,26,50,214,114,5,26,2753,74,55,0,276,157,11,55,14,8,295,690,63,48.7,44,1978,1599,1187,18,199,8,27,106,63,353
"Alec Burks","Left Foot Soreness",18,2225066.66666667,1,49,62,24547.0487187249,1079.08333333333,0.458793934240363,681.862464409026,196,440,96,228,145,179,96,633,37,7,57,16,133,107,13,133,2328,7,59,3,67,80,0,8,13,14,175,364,238,41.2,37.1,1689,1054,1210,8,178,6,6,47,28,204
"Alec Burks","Left Navicular Fracture",12,1483377.77777778,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aleksej Pokusevski","Left Ankle Sprain",1,39774.1463414634,1,14,16,5859.53511891107,321.4,0.478273809523809,585.953511891107,55,112,20,48,7,13,24,137,10,26,21,21,52,23,3,14,706,24,19,0,99,27,0,8,5,0,94,197,33,13.8,10.7,611,458,369,3,53,3,12,41,20,105
"Aleksej Pokusevski","Left Knee Contusion",3,119322.43902439,3,34,79,13125.5217546782,701.366666666667,0.429758986928105,625.024845460868,108,249,38,104,22,35,58,276,20,43,43,45,114,64,8,29,1515,45,40,0,189,49,0,22,9,5,187,393,90,29.7,23.7,1418,1084,843,5,117,4,30,92,39,224
"Aleksej Pokusevski","Left Leg Injury",39,1551191.70731707,2,31,34,10951.3388926978,677.466666666667,0.455286738351254,576.386257510412,107,243,38,101,21,33,57,273,20,41,41,45,112,62,7,28,1465,45,39,0,181,47,0,18,9,5,181,380,86,28.8,22.9,1375,1050,817,5,114,4,30,92,38,220
"Aleksej Pokusevski","Right Shoulder Bursitis",2,79548.2926829268,0,8,8,2277.55147373763,176.233333333333,0.458940972222222,455.510294747527,24,63,7,26,5,10,13,60,6,10,11,13,27,13,2,10,383,8,10,0,52,15,0,3,4,0,44,95,18,7.5,5.7,337,247,215,2,34,2,8,26,12,48
"Alex Caruso","Left Calf Contusion",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Caruso","Left Hamstring Spasm",0,0,1,3,3,2714.33906872923,77,0.534722222222222,904.779689576409,3,15,1,9,4,6,6,11,6,2,9,2,8,7,2,5,164,7,13,0,8,13,0,1,1,1,23,38,14,3.3,2.8,166,135,102,0,17,2,0,5,1,13
"Alex Caruso","Left Midfoot Soreness",7,780370.370370367,8,44,50,22143.3339042192,1061.46666666667,0.502588383838384,671.010118309671,87,191,39,96,42,54,107,255,73,28,58,26,106,144,13,74,2236,44,167,9,102,133,0,12,7,21,232,510,116,43.6,39.4,2042,1713,1345,21,230,19,9,69,14,178
"Alex Caruso","Left Midfoot Soreness Injury Management",1,111481.481481481,9,64,78,32337.7664046762,1519.88333333333,0.494753689236111,688.037583078217,125,275,54,147,59,73,154,363,94,40,75,40,151,187,15,103,3157,55,219,14,154,183,0,21,14,22,322,716,146,62.3,56.9,2747,2296,1754,23,291,24,15,102,17,257
"Alex Caruso","Low Back Contusion",1,111481.481481481,4,25,25,14333.4215503635,631.533333333333,0.526277777777778,754.390607913869,42,103,20,57,26,34,56,130,38,18,33,9,59,95,9,48,1340,26,95,4,62,78,0,7,4,14,137,291,63,26.4,23.2,1211,1031,795,7,150,8,3,29,8,99
"Alex Caruso","Right Acromioclavicular Concussion",2,222962.962962962,6,30,31,17396.4141911104,748.516666666667,0.519803240740741,756.365834396104,53,121,25,67,29,38,69,160,48,20,41,12,72,109,10,56,1573,36,114,6,72,87,0,7,4,16,158,337,70,31,27.5,1442,1226,950,13,168,9,4,36,10,118
"Alex Caruso","Right Acromioclavicular Sprain",1,111481.481481481,7,30,33,17396.4141911104,748.516666666667,0.519803240740741,756.365834396104,53,121,25,67,29,38,69,160,48,20,41,12,72,109,10,56,1573,36,114,6,72,87,0,7,4,16,158,337,70,31,27.5,1442,1226,950,13,168,9,4,36,10,118
"Alex Caruso","Right Ankle Spain",0,0,3,22,22,12471.2746792117,563.466666666667,0.533585858585858,733.604392894806,40,95,20,55,24,31,52,124,30,16,31,9,51,81,9,43,1194,26,83,4,60,69,0,6,4,13,133,267,54,23.5,20.8,1088,922,712,7,129,8,3,26,8,88
"Alex Caruso","Right Ankle Sprain",2,222962.962962962,2,19,19,10450.4536250066,487.666666666667,0.534722222222222,746.460973214756,34,82,18,47,17,22,44,103,29,15,29,9,44,71,7,33,1030,24,74,4,53,60,0,6,3,11,117,233,47,20.4,17.9,943,801,614,6,112,8,3,25,6,77
"Alex Caruso","Right Elbow Sprain",0,0,5,29,30,16790.0874519538,737.616666666667,0.529897030651341,763.185793270629,51,119,24,66,29,38,68,155,46,19,41,12,70,109,10,55,1550,36,112,6,70,85,0,7,4,16,156,330,70,30.6,27.1,1427,1214,942,13,168,9,4,36,10,113
"Alperen Sengun","Left Groin Strain",1,41162.9268292683,4,62,67,35697.9455919778,1754.2,0.589448924731183,830.184781208787,361,650,14,44,177,241,206,913,53,57,157,198,344,237,48,281,3683,210,105,6,401,109,28,89,18,12,462,919,270,64.2,55.9,3357,2361,2238,21,414,29,143,438,100,573
"Alperen Sengun","Low Back Pain",1,41162.9268292683,3,32,35,18563.0174584456,844.1,0.549544270833333,807.08771558459,178,323,5,25,97,122,105,458,21,29,66,105,173,80,21,147,1763,103,51,3,190,53,20,56,8,4,217,434,95,31.2,27.1,1528,1047,969,11,142,5,69,234,56,304
"Alperen Sengun","Right Ankle Sprain",0,0,2,25,28,15219.9628857076,669.783333333333,0.558152777777778,760.998144285378,142,263,4,21,70,88,85,358,17,23,57,89,131,55,18,115,1394,81,46,3,157,43,19,47,8,3,172,342,82,24.7,21.3,1234,849,773,10,104,5,58,189,47,234
"Alperen Sengun","Right Groin Soreness",0,0,0,14,16,11087.0753027381,372.416666666667,0.554191468253968,791.933950195581,79,145,4,16,56,71,48,218,9,16,30,49,71,28,11,73,773,38,22,3,93,22,12,30,4,2,103,198,50,13.6,11.8,698,478,448,9,60,4,29,102,26,132
"Alperen Sengun","Right Groin Strain",1,41162.9268292683,1,15,17,11087.0753027381,395.833333333333,0.549768518518518,791.933950195581,80,148,4,16,58,73,51,222,10,16,33,50,77,31,12,79,823,42,24,3,95,24,14,32,4,2,109,213,54,14.5,12.5,740,510,475,9,67,5,30,111,28,142
"Andre Drummond","Left Acromioclavicular Sprain",5,197530.864197531,2,30,37,15204.4851325556,417,0.289583333333333,760.224256627782,79,136,0,2,29,48,58,187,20,11,33,67,143,22,13,42,888,56,38,0,89,35,16,24,5,3,114,204,10,15.5,15.1,597,401,325,0,34,0,55,117,55,196
"Andre Drummond","Left Shoulder Sprain",6,237037.037037037,0,6,6,3764.46222601002,100.516666666667,0.349016203703704,941.115556502504,23,43,0,2,8,12,17,54,6,3,11,22,39,5,6,10,216,12,9,0,30,14,4,7,2,0,31,63,5,3.7,3.8,188,125,109,0,7,0,18,30,16,54
"Andre Drummond","Left Shoulder Strain",1,39506.1728395062,1,6,7,3764.46222601002,100.516666666667,0.349016203703704,941.115556502504,23,43,0,2,8,12,17,54,6,3,11,22,39,5,6,10,216,12,9,0,30,14,4,7,2,0,31,63,5,3.7,3.8,188,125,109,0,7,0,18,30,16,54
"Andre Iguodala","Left Hip Injury Management",0,0,0,0,39,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andre Iguodala","Left Wrist Soreness",13,466371.148148148,2,7,68,3746.33265758902,94.6333333333333,0.281646825396825,936.583164397254,5,12,0,7,2,3,10,12,3,2,7,3,10,18,0,7,216,7,7,0,10,8,0,1,1,0,21,43,6,3.8,3.1,171,150,103,4,24,0,1,5,2,21
"Andre Iguodala","Right Hip Soreness",22,789243.481481481,1,2,41,0,24.5,0.255208333333333,NA,1,1,0,0,0,0,4,2,0,0,3,1,2,4,0,1,55,1,1,0,2,2,0,0,0,0,4,13,2,1,0.8,42,39,23,1,6,0,0,3,0,4
"Andrew Nembhard","Bruised Left Knee",1,27367.2073170732,1,14,15,4916.79053534589,282.166666666667,0.419890873015873,614.598816918236,35,78,17,42,7,7,33,94,12,1,12,5,25,43,2,12,622,3,25,2,26,22,0,3,4,5,49,111,57,11.9,11.2,447,343,351,5,75,5,1,11,5,35
"Andrew Nembhard","Left Knee Bruise",3,82101.6219512196,2,14,16,4916.79053534589,282.166666666667,0.419890873015873,614.598816918236,35,78,17,42,7,7,33,94,12,1,12,5,25,43,2,12,622,3,25,2,26,22,0,3,4,5,49,111,57,11.9,11.2,447,343,351,5,75,5,1,11,5,35
"Andrew Nembhard","Left Knee Soreness",0,0,0,8,9,2695.81451428508,137.266666666667,0.357465277777778,539.162902857016,15,42,8,25,4,4,16,42,4,1,4,3,13,25,0,6,302,2,13,2,13,18,0,1,1,2,25,60,38,6,5.4,240,185,188,4,43,2,1,3,2,18
"Andrew Wiggins","Left Foot Soreness",3,1245065.55555556,0,9,9,5467.25879146998,299.966666666667,0.694367283950618,911.209798578329,60,129,21,54,16,22,27,157,11,11,8,16,35,26,2,25,649,7,19,0,38,46,2,6,3,4,60,121,44,11.1,10.4,447,290,310,7,50,2,10,34,6,68
"Andrew Wiggins","Right Adductor Tightness",15,6225327.77777778,1,22,24,16326.0638429427,721.916666666667,0.683633207070707,1020.37899018392,163,319,67,149,27,43,64,420,30,17,30,34,79,48,8,51,1550,17,55,0,96,89,2,12,7,9,150,311,109,27.1,24.9,1060,663,761,19,104,6,18,72,12,155
"Andrew Wiggins","Right Ankle Sprain",0,0,2,35,55,25327.1490387425,1123.9,0.668988095238095,974.12111687471,231,490,84,211,42,70,102,588,44,26,47,56,118,79,19,79,2426,29,80,1,154,122,5,19,10,10,222,466,163,42.2,38.7,1603,998,1155,22,169,9,32,126,18,220
"Anfernee Simons","Left Foot Inflammation",2,551146.395061728,0,7,7,2623.64398431225,256.616666666667,0.763740079365079,655.910996078062,55,126,26,70,18,20,19,154,6,2,20,3,17,27,3,12,539,3,14,0,22,26,0,0,0,0,49,100,73,10.6,8.4,523,354,443,10,60,6,2,11,2,27
"Anfernee Simons","Right Ankle Sprain",7,1929012.38271605,1,56,58,31505.6776780434,1990.3,0.740438988095238,900.162219372669,427,949,196,515,146,160,133,1196,40,13,121,15,135,235,35,114,4114,12,95,2,138,128,0,4,9,15,393,802,507,81.4,64.8,3874,2626,3299,57,416,20,5,59,26,211
"Anfernee Simons","Right Foot Soreness",10,2755731.97530864,2,62,71,35463.8367755544,2170.66666666667,0.729390681003584,909.329148091138,467,1045,212,562,160,179,142,1306,42,14,128,18,143,253,42,129,4485,15,101,2,146,137,0,5,11,16,426,869,547,88.8,70.9,4181,2816,3562,60,441,21,7,69,27,223
"Anthony Davis","Left Calf Contusion",1,463179.512195122,2,16,17,5417.04900388065,549.45,0.7154296875,677.131125485081,159,279,4,19,99,120,47,421,26,35,34,55,149,40,15,86,1183,32,59,0,135,43,8,25,5,7,128,277,45,19.6,17,1126,756,605,3,63,3,46,105,72,210
"Anthony Davis","Low Back Soreness",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Davis","Low Back Tightness",1,463179.512195122,1,1,1,345.68785836033,35.6,0.741666666666667,345.68785836033,10,22,0,3,7,9,2,27,4,1,3,0,6,0,1,7,87,0,6,0,6,5,0,5,1,0,6,15,4,1.5,1.1,83,52,51,1,2,0,0,7,3,8
"Anthony Davis","Right Foot Soreness",20,9263590.24390244,3,25,28,12070.76993962,835.75,0.696458333333333,804.717995974669,255,429,9,31,166,201,68,685,33,53,47,78,224,66,23,148,1806,56,74,1,194,69,15,34,12,13,199,438,62,29.9,26.1,1728,1140,937,5,102,3,62,155,103,339
"Anthony Davis","Right Foot Stress Injury",3,1389538.53658537,4,25,48,12070.76993962,835.75,0.696458333333333,804.717995974669,255,429,9,31,166,201,68,685,33,53,47,78,224,66,23,148,1806,56,74,1,194,69,15,34,12,13,199,438,62,29.9,26.1,1728,1140,937,5,102,3,62,155,103,339
"Anthony Edwards","Left Hip Contusion",0,0,0,36,36,20735.6087097405,1327.61666666667,0.768296682098766,863.983696239187,308,664,92,251,145,198,100,853,66,20,117,25,196,157,22,130,2826,1,99,0,79,109,1,7,11,15,224,479,429,49,44.7,2569,1642,1882,31,270,7,12,67,43,314
"Anthony Edwards","Left Hip Soreness",0,0,1,40,40,21033.6325320783,1461.18333333333,0.761032986111111,841.345301283131,341,742,102,284,165,222,113,949,68,21,128,26,222,175,26,144,3104,1,105,0,88,116,1,7,11,15,244,522,479,54.1,48.9,2860,1825,2108,35,299,7,13,75,46,353
"Anthony Edwards","Right Ankle Sprain",3,397533.333333333,3,71,71,37140.2653052855,2557.75,0.750513497652582,825.339229006344,636,1380,193,520,290,378,172,1755,114,51,237,39,378,315,52,250,5427,2,186,0,156,171,1,12,21,21,422,901,875,96.1,85,5079,3193,3800,54,561,16,15,138,69,597
"Anthony Edwards","Right Wrist Sprain",0,0,2,51,51,27568.7830412105,1859.05,0.759415849673203,835.417667915471,446,971,139,375,221,285,131,1252,86,29,167,31,274,230,39,183,3942,2,129,0,110,136,1,10,12,17,315,653,620,69.2,61.7,3714,2377,2777,44,403,9,14,102,51,434
"Anthony Gill","Left Heel Contusion",8,179130.731707317,0,23,27,9133.66303203375,261.633333333333,0.236986714975845,456.683151601687,27,49,2,13,13,15,32,69,4,5,4,14,24,12,3,14,548,12,6,1,34,30,1,11,3,3,60,126,13,10.9,9.2,258,190,152,1,24,2,8,32,6,40
"Anthony Lamb","Left Foot Soreness",12,102944.888888889,0,37,45,21916.9479714179,738.566666666667,0.41585960960961,842.959537362227,99,196,53,130,26,34,87,277,22,10,40,29,93,60,6,44,1585,23,38,6,128,75,4,25,7,8,163,358,67,32.4,25.6,1261,989,731,7,136,9,13,77,23,182
"Austin Reaves","Left Hamstring Strain",16,305076.682926829,2,36,38,18676.8684110092,1038.8,0.601157407407407,778.202850458718,124,254,45,125,95,106,60,388,20,14,49,23,88,80,9,112,2259,3,41,12,117,92,0,11,8,8,214,482,181,41.8,35.7,1294,913,830,10,161,7,7,52,6,162
"Austin Reaves","Right Ankle Soreness",0,0,1,32,34,15521.6402261983,939.066666666666,0.611371527777778,776.082011309916,115,218,42,106,85,94,52,357,18,14,40,22,75,68,6,102,2043,3,37,11,112,83,0,10,7,7,190,433,164,37.7,32.3,1151,823,730,9,143,7,7,46,6,148
"Austin Reaves","Right Ankle Sprain",2,38134.5853658536,0,29,29,12958.9568836666,855.2,0.614367816091954,762.291581392152,101,194,36,92,75,82,49,313,16,12,33,20,70,61,6,88,1857,3,36,9,105,78,0,8,6,6,171,398,145,34.3,29.4,1034,744,651,6,126,7,7,42,6,139
"Austin Rivers","Back Spasms",7,251122.925925926,3,50,67,25179.8395729536,1005.58333333333,0.418993055555555,868.27033010185,91,207,43,122,30,39,80,255,28,4,23,5,77,74,13,46,2131,10,48,1,66,41,0,7,3,7,175,334,176,36.7,35.6,1175,900,937,13,121,8,1,21,7,117
"Austin Rivers","Left Knee Contusion",2,71749.4074074074,1,35,45,16779.5855339629,732.616666666667,0.436081349206349,838.979276698143,70,149,34,87,25,29,61,199,20,2,20,2,56,53,7,35,1557,8,36,1,49,30,0,5,1,4,131,242,130,26.8,25.8,862,662,684,9,92,6,0,10,5,80
"Austin Rivers","Neck Soreness",0,0,2,49,66,23667.8614386395,1001.6,0.425850340136054,845.280765665697,91,205,43,121,30,39,80,255,28,4,23,5,77,74,12,46,2124,10,48,1,66,41,0,7,3,7,174,333,173,36.6,35.5,1169,896,932,13,120,8,1,21,7,117
"Austin Rivers","Right Hip Soreness",4,143498.814814815,0,2,3,0,9.23333333333334,0.0961805555555556,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,24,0,0,0,1,2,0,0,0,0,1,4,0,0.3,0.3,8,7,4,0,0,0,0,1,0,2
"Ayo Dosunmu","Pelvic Contusion",1,19302.6913580247,2,25,26,13872.6034140413,688.683333333333,0.573902777777778,730.137021791646,104,201,25,73,22,25,62,255,17,9,37,14,69,71,19,22,1468,5,28,0,69,65,0,3,5,9,120,253,138,28.3,26.2,1335,1059,1021,16,117,3,7,41,12,121
"Ayo Dosunmu","Right Knee Soreness",0,0,1,19,20,10263.0523516588,552.566666666667,0.605884502923977,733.075167975625,83,163,20,61,16,17,52,202,14,9,31,10,56,57,16,15,1169,2,24,0,60,53,0,3,4,8,95,202,107,22.9,20.7,1118,894,855,14,96,3,4,30,9,100
"Ayo Dosunmu","Thoracic Contusion",1,19302.6913580247,0,6,6,3764.46222601002,179.633333333333,0.623726851851852,941.115556502504,30,59,11,24,4,4,14,75,6,2,7,4,24,19,7,6,383,1,12,0,16,21,0,2,1,4,27,57,32,7.3,6.5,408,325,299,4,31,1,3,12,3,39
"Bam Adebayo","Bilateral Knee Soreness",0,0,6,52,57,28270.141645596,1836.56666666667,0.735803952991453,883.441926424876,445,815,1,11,232,288,148,1123,63,41,133,142,382,169,35,261,3728,253,93,2,273,128,19,97,23,14,346,738,284,70.5,60.3,3370,2208,2263,19,300,9,98,318,123,590
"Bam Adebayo","Left Ankle Sprain",1,370143.658536585,2,27,29,15634.9068315952,943.616666666667,0.728099279835391,1042.32712210634,217,414,1,10,122,145,87,557,27,19,83,62,199,89,15,131,1921,126,38,0,145,61,9,55,14,4,172,365,160,36.4,30.8,1806,1212,1232,10,162,6,43,158,63,307
"Bam Adebayo","Left Knee Contusion",2,740287.31707317,1,14,14,7918.67007643858,490.45,0.72983630952381,1319.7783460731,104,196,0,5,59,69,48,267,17,11,50,34,94,47,5,69,997,73,19,0,83,40,6,35,11,3,92,189,68,18.5,16.3,910,623,631,8,85,3,22,80,33,154
"Bam Adebayo","Left Posterior Thigh Bruise",0,0,4,36,40,20002.7900523971,1272.41666666667,0.736352237654321,952.51381201891,310,570,1,10,162,198,111,783,39,28,106,100,259,114,20,178,2585,166,55,0,194,86,14,76,18,6,233,497,198,49,41.5,2404,1590,1630,14,209,7,67,223,79,406
"Bam Adebayo","Left Quadriceps Tendon Strain",1,370143.658536585,8,73,79,38154.7530368251,2566.15,0.732348744292237,829.451152974459,593,1100,1,12,324,402,208,1511,87,61,187,178,499,238,49,360,5200,325,131,2,380,169,24,142,32,18,517,1060,392,97.4,84.3,4578,3008,3123,30,422,18,120,410,163,774
"Bam Adebayo","Right Hip Contusion",1,370143.658536585,7,72,77,36998.4133511351,2535.11666666667,0.733540702160494,822.186963358558,587,1090,1,12,318,396,205,1493,85,61,186,176,497,236,49,356,5139,323,128,2,373,169,23,139,32,18,508,1048,388,96.2,83.3,4536,2979,3094,30,419,18,118,406,162,770
